{0x30810463,0x3e885368,0xfab5361f,0xbaabce1a,0xe30605fb,0x95d188e3,0xaf327f4e,0xbf88979d}{0x62c003b6,0xb0a5b5f6,0xd10ccc65,0xe2acf33d,0x1b08374c,0xfa9321a1,0x343caa81,0xa76c72f3}
{0xa7e45006,0xdb59e02d,0xff0acdff,0xfff121ce,0x00fb2c79,0x10909270,0x30f574bf,0x2af67054}{0xf6604870,0x386876e0,0x26dba041,0xd7a183d3,0xf264da1e,0x6246cf0f,0x411b5f74,0x8c14704c}
{0x4ececf4a,0x910eed1e,0x83942b68,0xe2607867,0xb7b96c9a,0x87345691,0x744dd74b,0xa79828e7}{0x0f3b57de,0x88175e79,0x4e8fd480,0x0006426e,0xf69dd96e,0x86fe7a1e,0x43ebcee9,0xa4c73027}
{0xf9fb7610,0x2fccc2ab,0x99425b35,0x130212d7,0x19de4e5a,0x0dfe9e1e,0xeec1d5f5,0xcfa8ef81}{0x7313ce83,0xf5f8b9bf,0x5539b82a,0x27f8068e,0x48efcc94,0x896483a9,0x44504d26,0x59d19ae9}
{0x8b8b97ff,0x6e981bff,0x3ab1ea50,0x8a6dcdad,0xdd852676,0x81d230cd,0xb33cf575,0xf7c5a7d7}{0x12509fc8,0x834c3a35,0xeabfbe85,0x9fae6a11,0xd9325254,0x74095ab3,0xdf5fac1b,0xf927c93d}
{0x3a7a6d36,0xa1eb7b78,0x38359d9d,0x3d205d20,0x67fc8842,0x0716cca9,0x21cc0ec9,0x4c7e873e}{0xe33b0870,0x586d6fe8,0x099b3403,0xe8ced61c,0xe3538e8c,0x29e3c390,0x523f0e0b,0x68df5bc1}
{0x9b89c11e,0xf81d05c3,0x41969c80,0x96169ec1,0x70f09b26,0xfea38f17,0xf486e60b,0xde9f93ec}{0x4dd854b2,0xd1321b67,0x6dd6b3de,0xeeb62730,0x4b353f92,0xc3c28bd1,0x42db1eec,0x1ce8cfa5}
{0x989860c0,0x0b498061,0xc53c058b,0xe753b001,0xf646d230,0x52aaa857,0x63fa8196,0xe060e0cc}{0x7a447439,0xbc77b0d2,0xa5e3c7dd,0x77a8d95f,0x832fd418,0x4869ea35,0x971e3900,0x26ea2318}
{0x6d28b11b,0x5e36722d,0x41af37c3,0xb04da378,0xc2f8d0e9,0xe7888a2c,0x73aeaeaa,0x0c3c9b2f}{0x39e158e9,0x6a09ef9f,0x232308cf,0xfd1dddd3,0x57028aaa,0x4cd14330,0xd8e8341d,0x9a5fd6d6}
{0x991531f7,0x6810371a,0x90e22931,0x93489752,0x3e253044,0x26054513,0xfbeb7700,0xd1f2372a}{0xd1d19ce3,0x7b58459e,0x474fc1e1,0xa30e7f2e,0xf3c1ee99,0x2a9817c2,0x469d06b6,0xdd414842}
{0x1b21060e,0x98c5b90b,0x94f3b99c,0x2e816308,0xdebc25ab,0x036075e7,0x0b714aed,0x8850b7b9}{0x93f3ab08,0x59faac3b,0x8dc37235,0xe0482ac1,0x497980f2,0x8f50602d,0x9373ae32,0xcfb3180a}
{0xab10d703,0x59a67fee,0x617a623e,0xe1595622,0xd22b72db,0x73957de1,0x90f1a83c,0xc6dc8694}{0x0e40b3bd,0x1db17406,0xf6d3f879,0x2ffae5ae,0x6af4840e,0x529aa675,0x32e19be4,0xc1a1b986}
{0xbe273b58,0x46e809cd,0x43923b05,0xbccd116a,0xf35aa3cb,0xb031444d,0xd02ee263,0xb69150ef}{0xc84c56af,0x4e8b28e0,0xeca8d38c,0x0ab101ab,0x54bfc0bb,0xddb0fdb0,0x48269202,0x01990d24}
{0x21beded6,0xc0257266,0xfe905d73,0x44906953,0x8032f63c,0x13a1609d,0xc43bff9b,0x9c569331}{0xaa8d82f8,0xf5fadc51,0xa35bfbb3,0x8b318f17,0xcccab37e,0x7595a650,0x1b5b8883,0xb4221e5c}
{0x8666c9ee,0x9c494de0,0x72932fc0,0x84471d16,0xbf5af2e6,0x48af2e24,0xfa0cc357,0xf904a327}{0xb81eb170,0x4148f89b,0x9a580e21,0x7583df85,0xe74e2f8e,0xcdf153fc,0xa18ec088,0x57092946}
{0xc8fa5b1f,0x7fcf7ddb,0x8c93ef04,0x2fbfaeb0,0xf3a52ac6,0x351a04c1,0x661dc3e1,0xa3794d8b}{0x09173385,0x4c8723d6,0x91eb935b,0x405e97fb,0xaab0ac33,0x0be191eb,0x894f47c8,0xd62a9949}
{0x71a822b3,0x2b9363a9,0x889693e8,0x450bd60c,0xe9869036,0xae85ec39,0x212fac15,0x5fd6b6cb}{0x7c0d73a8,0x9d534734,0x7fa80a35,0xb876aa9c,0x6d722949,0xe92a7aaa,0xba30f636,0xe276f2d9}
{0xd2364b69,0x45ccb88f,0x7ca39273,0x474dda2b,0x0a42ac15,0x2dfd6199,0xc7ab99a7,0x71e57533}{0xfcb09dfc,0x7d74fbbf,0x99d90935,0x30f600aa,0x644439a6,0x617f7cae,0xd7728904,0xc93f34d0}
{0xcd3ff058,0x6d5273ed,0x9d08538f,0xc380eb4e,0x38ee9fc8,0xd8699b75,0xd8ce589e,0x9dae4e4e}{0xa6bd9e35,0x435d243a,0xde992739,0x893d6508,0x57e6d39b,0xd93ba30f,0xb22b0543,0xa860f375}
{0xf905d04f,0xcb3e3204,0xc28046c8,0x9cc736c4,0x72813f87,0x3ecdf5da,0x9e1fe3ea,0xb2e16b15}{0xedbf33e4,0x4d4d0855,0xdd103c65,0x2894a3b8,0x4c5468a3,0xbd2acbf7,0xf349edbb,0x0d766594}
{0x2d28cf76,0x063b51c8,0x0e171082,0xe8e68c5b,0xf25f8f5c,0x57df5676,0x8ee3dc35,0xc470e33e}{0x0454fe14,0xdfa04b6a,0x98622978,0xf2554725,0x3360b124,0x7bb44c8d,0x90de1c43,0xe33ed42c}
{0xbe1ee7f6,0xa585f981,0xd3408e55,0x7af71035,0xa47bbf19,0xcbb39e31,0xdece4039,0xbda7743a}{0x068284ff,0x80b86283,0xe519a6b3,0x47614872,0xc26d0f63,0x04cf9984,0x4fc890fc,0xf617f7bd}
{0x1e62937b,0x23adbeba,0x0b30dc34,0x26a5e3b2,0xef93275f,0xf61a820c,0xcd16ce65,0xe9f446d9}{0x75f02d50,0x4c50c61c,0x225d5521,0xfe717cb8,0x60c5a5dd,0xb9012661,0xb706b3ca,0xc7d358b5}
{0xee987df8,0xacffe264,0x58c432cc,0xdf7d7bde,0xa73f76f5,0x0a1e0c84,0xccdc45cb,0x933bd52f}{0x8b4bc073,0x7280165f,0xc916f5d1,0xad037ba5,0x710c1617,0x26e8a793,0x46687e2e,0x313edf2f}
{0xdd45f0ad,0x1bef8351,0x9e38943f,0x797bcbaa,0x12015958,0x8f3b1ca2,0xb5c80991,0x98d11596}{0x2e6ab1e7,0xb74c5a0b,0x9b4fac99,0x23a4ab65,0x5e901880,0x825ff76a,0xa43da97d,0xc61bbec3}
{0x448ce6f8,0xa1b68724,0xdce2cc22,0x9fc2b9a4,0xdc1f0205,0xdba381b3,0x979a63ef,0xb39ecf69}{0x84b73464,0xfc2bbc4c,0xd3bbe3c3,0x0f369200,0xc1990f51,0xf37831b6,0x6094d4c4,0x7dd8104c}
{0x8e013651,0x025da465,0x72dd2485,0x17c1fdf4,0xb03a2bb5,0x34a7f974,0xcc1231b7,0x2fb7c95b}{0xd35439a8,0xa2d663ed,0x31c4efe9,0x077d47e0,0x3accfb00,0x189bf293,0x1f81de43,0x114ec1e8}
{0x87d5854d,0x115d7c27,0x83124b3a,0x0bd041c1,0x59f30628,0xb4ae93b3,0xda62a23d,0xaecbb5a8}{0x46cdb1f9,0x4be33a96,0x42590b75,0x84625475,0x3eaf57ec,0x3b2b084d,0x37718cbe,0x1062fcff}
